transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
6740,29392,915389.0,EASTMAN CHEMICAL CO,2014-01-01,internal,James P. Rogers,Mark J. Costa,2013,2014
1739,5680,354950.0,HOME DEPOT INC,2014-01-11,internal,Francis S. Blake,Craig A. Menear,2013,2015
1537,5073,1467858.0,GENERAL MOTORS CO,2014-01-15,internal,Daniel Francis Akerson,Mary T. Barra,2013,2015
2709,8151,1039684.0,ONEOK INC,2014-01-31,internal,John W. Gibson,Terry K. Spencer,2013,2015
3831,11259,104169.0,WALMART INC,2014-02-01,internal,Michael Terry Duke,C. Douglas McMillon,2013,2015
4129,12141,789019.0,MICROSOFT CORP,2014-02-04,internal,Steven A. Ballmer,Satya Nadella,2013,2015
2256,7085,62996.0,MASCO CORP,2014-02-14,internal,Timothy Wadhams,Keith J. Allman,2013,2015
7612,63892,1021860.0,NATIONAL OILWELL VARCO INC,2014-02-27,internal,"Merrill A. Miller, Jr.",Clay C. Williams,2013,2015
1313,4494,746515.0,EXPEDITORS INTL WASH INC,2014-03-01,internal,Peter J. Rose,Jeffrey S. Musser,2013,2015
5929,24800,804328.0,QUALCOMM INC,2014-03-04,internal,"Paul E. Jacobs, Ph.D.",Steven M. Mollenkopf,2013,2015
1697,5581,46765.0,HELMERICH & PAYNE,2014-03-05,internal,"Hans Christian Helmerich, III",John W. Lindsay,2013,2015
3034,8972,1047122.0,RAYTHEON CO,2014-03-31,internal,William H. Swanson,Thomas A. Kennedy,2013,2015
1683,5543,766704.0,WELLTOWER INC,2014-04-13,external,George L. Chapman,Thomas J. DeRosa,2013,2015
2753,8253,75362.0,PACCAR INC,2014-04-27,internal,Mark C. Pigott,"Ronald E. Armstrong, CPA",2013,2015
8254,120877,1275283.0,REYNOLDS AMERICAN INC,2014-04-30,external,Daniel M. Delen,Susan M. Cameron,2013,2015
4916,15247,1035002.0,VALERO ENERGY CORP,2014-05-01,internal,William R. Klesse,Joseph W. Gorder,2013,2015
3100,9248,745732.0,ROSS STORES INC,2014-05-01,internal,Michael Balmuth,Barbara Rentler,2013,2015
1058,3813,27419.0,TARGET CORP,2014-05-05,external,Gregg W. Steinhafel,Brian C. Cornell,2013,2015
8231,120093,1070412.0,CNX RESOURCES CORPORATION,2014-05-07,internal,J. Brett Harvey,Nicholas J. DeIuliis,2013,2015
482,2270,,ENSCO PLC,2014-06-01,external,Daniel W. Rabun,Carl G. Trowell,2013,2015
67,1209,2969.0,AIR PRODUCTS & CHEMICALS INC,2014-07-01,external,John E. McGlade,Seifollah Ghasemi,2013,2015
3819,11228,1396009.0,VULCAN MATERIALS CO,2014-07-01,internal,Donald M. James,J. Thomas Hill,2013,2015
1454,4839,37996.0,FORD MOTOR CO,2014-07-01,internal,Alan R. Mulally,Mark Fields,2013,2015
6368,27845,,ALLERGAN PLC,2014-07-01,external,"Paul M. Bisaro, J.D.","Brenton L. Saunders, J.D.",2013,2015
434,2154,11199.0,BEMIS CO INC,2014-08-07,internal,Henry J. Theisen,William F. Austen,2013,2015
1887,6078,51253.0,INTL FLAVORS & FRAGRANCES,2014-09-01,external,"Douglas D. Tough, B.B.A., BBA, M.B.A., MBA",Andreas Fibig,2013,2015
165,1487,5272.0,AMERICAN INTERNATIONAL GROUP,2014-09-01,internal,Robert Herman Benmosche,Peter D. Hancock,2013,2015
3722,10920,1090727.0,UNITED PARCEL SERVICE INC,2014-09-01,internal,"D. Scott Davis, C.P.A., CPA",David P. Abney,2013,2015
1047,3735,313616.0,DANAHER CORP,2014-09-09,internal,"H. Lawrence Culp, Jr.","Thomas P. Joyce, Jr.",2013,2015
8302,122015,,HUDSON CITY BANCORP INC,2014-09-11,internal,"Ronald E. Hermance, Jr.",Denis J. Salamone,2013,2015
6124,25340,882184.0,D R HORTON INC,2014-10-01,internal,Donald J. Tomnitz,David V. Auld,2013,2015
7080,31846,940944.0,DARDEN RESTAURANTS INC,2014-10-14,internal,"Clarence Otis, Jr.","Eugene I. Lee, Jr.",2013,2015
2589,7912,72207.0,NOBLE ENERGY INC,2014-10-21,internal,Charles D. Davidson,David L. Stover,2013,2015
1906,6104,51434.0,INTL PAPER CO,2014-10-31,internal,John V. Faraci,Mark S. Sutton,2013,2015
8289,121718,1043604.0,JUNIPER NETWORKS INC,2014-11-01,internal,Shaygan Kheradpir,Rami Rahim,2013,2015
837,3121,21076.0,CLOROX CO/DE,2014-11-20,internal,Donald R. Knauss,Benno O. Dorer,2013,2015
7548,63643,,ABERCROMBIE & FITCH -CL A,2014-12-08,internal,Michael S. Jeffries,Fran Horowitz,2013,2015
