transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
8253,1275283,REYNOLDS AMERICAN INC,internal,,,Daniel M. Delen,0001193125-13-121267,ok,,,,0000950123-11-029149,ceo-row-not-found,
2331,64803,CVS HEALTH CORP,internal,,,Larry J. Merlo President and Chief Executive Officer,0001193125-13-133747,ok,,,Thomas M. Ryan Chairman of the Board and Chief Executive Officer,0001193125-11-082231,ok,
7261,1001288,LEXMARK INTL INC -CL A,internal,,,P.A. Rooke(7),0001193125-13-107398,ok,,,,0000950123-11-025184,ceo-row-not-found,
8879,1274057,HOSPIRA INC,external,,,"F. Michael Ball(4),",0001047469-13-003656,ok,,,"Christopher B. Begley,",0001047469-11-002740,ok,
8882,1652044,ALPHABET INC,internal,,,,,no-proxy-for-year,,,,,no-proxy-for-year,
3519,1018963,ALLEGHENY TECHNOLOGIES INC,internal,,,Richard J. Harshman(1),0001193125-13-118475,ok,,,,0000950123-11-023648,ceo-row-not-found,
7360,1020569,IRON MOUNTAIN INC,internal,,,C. Richard Reese,0001047469-13-004771,ok,,,Robert T. Brennan,0001047469-11-004349,ok,
2324,1613103,MEDTRONIC PLC,external,,,,,no-proxy-for-year,,,,,no-proxy-for-year,
2759,1004980,PG&E CORP,external,,,"Anthony F. Earley, Jr.",0001047469-13-003303,ok,,,"Peter A. Darbee Chairman, Chief Executive Officer, and President, PG&E Corporation (NEO of both PG&E Corporation and the Utility)",0001047469-11-002875,ok,
3284,91576,KEYCORP,internal,,,Beth E. Mooney  Chairman and Chief  Executive Officer(1),0001193125-13-134261,ok,,,,0000950123-11-032786,ceo-row-not-found,
7974,1050915,QUANTA SERVICES INC,internal,,,James F. ONeil III(5),0001193125-13-151942,ok,,,John R. Colson,0001193125-11-090762,ok,
8462,1099219,METLIFE INC,internal,,,"Steven A. Kandarian,",0001193125-13-121092,ok,,,,0000950123-11-029465,ceo-row-not-found,
478,12659,BLOCK H & R INC,external,,,,0001193125-13-307413,ok,,,,0000950123-11-071369,ceo-row-not-found,
1707,47111,HERSHEY CO,internal,,,J. P. Bilbrey President and CEO,0001193125-13-114642,ok,,,D. J. West  President and  Chief Executive  Officer,0001193125-11-066689,ok,
6275,859014,COMPUWARE CORP,internal,,,,,no-proxy-for-year,,,,0000950123-11-065598,ceo-row-not-found,
2767,1032208,SEMPRA ENERGY,internal,,,Debra L. Reed Chairman and Chief Executive Officer,0001308179-13-000098,ok,,,Donald E. Felsinger,0001193125-11-081049,ok,
2569,814453,NEWELL BRANDS INC,external,,,"Michael B. Polk, President and Chief Executive Officer",0001193125-13-132259,ok,,,"Mark D. Ketchum,",0001193125-11-086649,ok,
649,16732,CAMPBELL SOUP CO,internal,,,Denise M. Morrison,0001193125-13-391630,ok,,,,0000950123-11-089214,ceo-row-not-found,
419,732712,VERIZON COMMUNICATIONS INC,internal,,,Lowell C. McAdam,0001193125-13-112283,ok,,,Ivan G. Seidenberg,0001193125-11-072480,ok,
7959,1014473,VERISIGN INC,internal,,,D. James Bidzos(5),0001014473-13-000018,ok,,,Mark D. McLaughlin(5),0001193125-11-096318,ok,
2618,72903,XCEL ENERGY INC,internal,,,"Benjamin G.S. Fowke III Chairman, President & CEO",0001193125-13-145419,ok,,,Richard C. Kelly,0001193125-11-089288,ok,
245,320193,APPLE INC,internal,,,Timothy Cook Chief Executive Officer,0001193125-13-005529,ok,,,Steven P. Jobs Chief Executive Officer,0001193125-11-003231,ok,
1714,47217,HP INC,external,,,Margaret C. Whitman,0001047469-13-000585,ok,,,"Mark V. Hurd(9) Former Chairman of the Board, Chief Executive Officer and President",0001047469-11-000421,ok,
5724,874761,AES CORP,internal,,,,0001193125-13-090034,ceo-row-not-found,,,"Paul Hanrahan,",0001193125-11-053866,ok,
413,10795,BECTON DICKINSON & CO,internal,,,Vincent A. Forlenza,0001193125-13-478579,ok,,,,0001193125-11-349973,ceo-row-not-found,
1497,39899,TEGNA INC,internal,,,Gracia C. Martore (President and Chief  Executive Officer),0001193125-13-122321,ok,,,Craig A. Dubow (Chairman and CEO),0001193125-11-076593,ok,
125,789073,BEAM INC,internal,,,Matthew J. Shattock,0001193125-13-101404,ok,,,Bruce A. Carbonari(8),0001193125-11-057854,ok,
6097,885725,BOSTON SCIENTIFIC CORP,internal,,,William H. Kucheman*,0001047469-13-003410,ok,,,,0000950123-11-029806,ceo-row-not-found,
9131,1274494,FIRST SOLAR INC,external,,,James A. Hughes(5),0001193125-13-149355,ok,,,,0000950123-11-035196,ceo-row-not-found,
227,1163739,NABORS INDUSTRIES LTD,internal,,,Anthony G. Petrello,0001047469-13-005209,ok,,,,0000950123-11-041482,ceo-row-not-found,
1801,216228,ITT INC,internal,,,Denise L. Ramos,0001193125-13-128057,ok,,,"Steven R. Loranger,",0000950123-11-030185,ok,
307,8670,AUTOMATIC DATA PROCESSING,internal,,,Carlos A.  Rodriguez,0001206774-13-003394,ok,,,,0001206774-11-002126,ceo-row-not-found,
142,4904,AMERICAN ELECTRIC POWER CO,internal,,,Nicholas K. Akins,0001193125-13-103112,ok,,,Michael G. Morris,0001193125-11-064957,ok,
2829,922224,PPL CORP,internal,,,William H. Spence,0001193125-13-142024,ok,,,,0000950123-11-033290,ok,
3174,754737,SCANA CORP,internal,,,"K. B. Marsh, Chief Executive Officer, President and Chief Operating Officer",0001193125-13-123597,ok,,,"W. B. Timmerman,",0001193125-11-065103,ok,
1026,26172,CUMMINS INC,internal,,,"T. Linebarger, Chairman and",0001047469-13-003683,ok,,,"T. M. Solso, Chairman and CEO",0001047469-11-002509,ok,
2268,63276,MATTEL INC,internal,,,Bryan G. Stockton,0001193125-13-126344,ok,,,Robert A. Eckert,0001193125-11-083060,ok,
10467,915912,AVALONBAY COMMUNITIES INC,internal,,,Tim Naughton,0001188112-13-001017,ok,,,Bryce Blair,0001047469-11-002900,ok,
2172,315852,RANGE RESOURCES CORP,internal,,,Jeffrey L. Ventura President & CEO,0001308179-13-000178,ok,,,John H. Pinkerton Chairman & CEO,0001308179-12-000077,ok,
6644,909832,COSTCO WHOLESALE CORP,internal,,,W. Craig Jelinek,0000909832-13-000007,ok,,,President and Chief Executive Officer,0001193125-12-501874,ok,
