transition_id,cik,coname,classification,predecessor,successor,pred_last_full_fy,pred_proxy_year,succ_first_full_fy,succ_proxy_year
1289,33185,EQUIFAX INC,external,Richard F. Smith,Mark W. Begor,2016,2017,2018,2019
3916,106640,WHIRLPOOL CORP,internal,Jeffrey M. Fettig,Marc R. Bitzer,2016,2017,2018,2019
8791,1137789,SEAGATE TECHNOLOGY PLC,internal,Stephen J. Luczo,William David Mosley,2016,2017,2018,2019
4608,818479,DENTSPLY SIRONA INC,external,Jeffrey T. Slovin,"Donald M. Casey, Jr.",2016,2017,2018,2019
3963,783325,WEC ENERGY GROUP INC,external,Allen Lewis Leverett,Gale E. Klappa,2016,2017,2018,2019
8611,1103982,MONDELEZ INTERNATIONAL INC,external,Irene B. Rosenfeld,Dirk Van de Put,2016,2017,2018,2019
9053,1058090,CHIPOTLE MEXICAN GRILL INC,external,M. Steven Ells,Brian R. Niccol,2016,2017,2018,2019
7139,1001082,DISH NETWORK CORP,internal,Charles William Ergen,W. Erik Carlson,2016,2017,2018,2019
1397,36270,M & T BANK CORP,internal,Robert G. Wilmers,Rene F. Jones,2016,2017,2018,2019
618,277948,CSX CORP,external,"E. Hunter Harrison, LL.D.",James M. Foote,2016,2017,2018,2019
8041,1039101,L3 TECHNOLOGIES INC,internal,Michael T. Strianese,"Christopher E. Kubasik, CPA",2016,2017,2018,2019
3175,754737,SCANA CORP,internal,Kevin B. Marsh,Jimmy E. Addison,2016,2017,2018,2019
3202,1012100,SEALED AIR CORP,external,Jerome A. Peribere,"Edward L. Doheny, II",2016,2017,2018,2019
767,93410,CHEVRON CORP,internal,John S. Watson,Michael K. Wirth,2017,2018,2018,2019
2629,73124,NORTHERN TRUST CORP,internal,Frederick H. Waddell,Michael G. O'Grady,2017,2018,2018,2019
3464,96021,SYSCO CORP,internal,"William J. DeLaney, III",Thomas L. Bené,2017,2018,2018,2019
660,721371,CARDINAL HEALTH INC,internal,George S. Barrett,Michael C. Kaufmann,2017,2018,2018,2019
5921,1585364,PERRIGO CO PLC,external,John T. Hendrickson,Uwe F. Roehrhoff,2017,2018,2019,2020
8517,1101239,EQUINIX INC,internal,Stephen M. Smith,Charles J. Meyers,2017,2018,2019,2020
5487,743988,XILINX INC,internal,Moshe N. Gavrielov,Victor Peng,2017,2018,2019,2020
6308,1645590,HEWLETT PACKARD ENTERPRISE,internal,Margaret Cushing Whitman,Antonio F. Neri,2017,2018,2019,2020
146,4962,AMERICAN EXPRESS CO,internal,Kenneth I. Chenault,Stephen Joseph Squeri,2017,2018,2019,2020
8761,1174922,WYNN RESORTS LTD,internal,Stephen A. Wynn,Matthew Ode Maddox,2017,2018,2019,2020
1296,33213,EQT CORP,internal,Steven T. Schlotterbeck,Robert J. McNally,2017,2018,2019,2020
8731,1260221,TRANSDIGM GROUP INC,internal,Walter Nicholas Howley,Kevin M. Stein,2017,2018,2019,2020
479,12659,BLOCK H & R INC,external,William C. Cobb,"Jeffrey J. Jones, II",2017,2018,2019,2020
2132,920760,LENNAR CORP,internal,Stuart A. Miller,Richard Beckwitt,2017,2018,2019,2020
2271,63276,MATTEL INC,external,Mary Margaret-Hastings Georgiadis,Ynon Kreiz,2017,2018,2019,2020
2834,77360,PENTAIR PLC,internal,"Randall J. Hogan, III",John L. Stauch,2017,2018,2019,2020
980,711404,COOPER COMPANIES INC,internal,Robert S. Weiss,"Albert G. White, III",2017,2018,2019,2020
1140,29905,DOVER CORP,external,Robert A. Livingston,Richard J. Tobin,2017,2018,2019,2020
2768,1032208,SEMPRA ENERGY,internal,Debra Lynn Reed-Klages,Jeffrey W. Martin,2017,2018,2019,2020
6461,898173,O'REILLY AUTOMOTIVE INC,internal,Gregory L. Henslee,Gregory D. Johnson,2017,2018,2019,2020
4001,1770450,XEROX CORP,external,Jeffrey Jacobson,Giovanni G. Visentin,2017,2018,2019,2020
6102,885639,KOHL'S CORP,internal,Kevin Mansell,Michelle D. Gass,2017,2018,2019,2020
2875,764180,ALTRIA GROUP INC,internal,Martin J. Barrington,"Howard A. Willard, III",2017,2018,2019,2020
650,16732,CAMPBELL SOUP CO,external,Denise Mullen Morrison,Mark A. Clouse,2017,2018,2019,2020
2400,66740,3M CO,internal,"Inge G. Thulin, M.B.A.",Michael F. Roman,2017,2018,2019,2020
3562,97476,TEXAS INSTRUMENTS INC,internal,Richard K. Templeton,Brian T. Crutcher,2017,2018,2019,2020
1857,50863,INTEL CORP,internal,Brian Matthew Krzanich,Robert Holmes Swan,2017,2018,2019,2020
1380,1281761,REGIONS FINANCIAL CORP,internal,"O. B. Grayson Hall, Jr.","John M. Turner, Jr.",2017,2018,2019,2020
2195,60667,LOWE'S COMPANIES INC,external,Robert Alan Niblock,Marvin R. Ellison,2017,2018,2019,2020
3563,97476,TEXAS INSTRUMENTS INC,internal,Brian T. Crutcher,Richard K. Templeton,2017,2018,2019,2020
420,732712,VERIZON COMMUNICATIONS INC,internal,Lowell C. McAdam,Hans E. Vestberg,2017,2018,2019,2020
6589,908255,BORGWARNER INC,internal,James R. Verrier,Frederic B. Lissalde,2017,2018,2019,2020
9962,91142,SMITH (A.O.),internal,Ajita G. Rajendra,Kevin J. Wheeler,2017,2018,2019,2020
5971,882835,ROPER TECHNOLOGIES INC,internal,Brian D. Jellison,L. Neil Hunn,2017,2018,2019,2020
3660,100493,TYSON FOODS INC -CL A,internal,Thomas P. Hayes,Noel White,2017,2018,2019,2020
8120,886982,GOLDMAN SACHS GROUP INC,internal,Lloyd C. Blankfein,David M. Solomon,2017,2018,2019,2020
1525,40545,GENERAL ELECTRIC CO,external,John L. Flannery,"H. Lawrence Culp, Jr.",2017,2018,2019,2020
2847,77476,PEPSICO INC,internal,"Indra K. Nooyi, M.P.P.M.",Ramon L. Laguarta,2017,2018,2019,2020
9534,1585364,PERRIGO CO PLC,external,Uwe F. Rehrhoff,Murray S. Kessler,2017,2018,2019,2020
6959,726728,REALTY INCOME CORP,internal,John P. Case,Sumit Roy,2017,2018,2019,2020
4142,1024305,COTY INC,external,Camillo Pane,Pierre Laubies,2017,2018,2019,2020
8615,1137774,PRUDENTIAL FINANCIAL INC,internal,"John Robert Strangfeld, Jr.",Charles F. Lowrey,2017,2018,2019,2020
6819,912242,MACERICH CO,internal,"Arthur M. Coppola, CPA",Thomas E. O'Hern,2017,2018,2019,2020
2103,707549,LAM RESEARCH CORP,internal,Martin B. Anstice,Timothy M. Archer,2017,2018,2019,2020
544,14693,BROWN FORMAN CORP,internal,Paul C. Varga,Lawson E. Whiting,2017,2018,2019,2020
3371,93751,STATE STREET CORP,internal,"Joseph L. Hooley, Esq.",Ronald P. O'Hanley,2017,2018,2019,2020
5944,882095,GILEAD SCIENCES INC,external,"John F. Milligan, Ph.D.",Daniel P. O'Day,2017,2018,2019,2020
2633,1133421,NORTHROP GRUMMAN CORP,internal,Wesley G. Bush,Kathy J. Warden,2017,2018,2019,2020
5482,860730,HCA HEALTHCARE INC,internal,R. Milton Johnson,Samuel N. Hazen,2017,2018,2019,2020
6585,906107,EQUITY RESIDENTIAL,internal,David J. Neithercut,Mark J. Parrell,2017,2018,2019,2020
2860,78003,PFIZER INC,internal,Ian C. Read,Albert Bourla,2018,2019,2019,2020
3906,106535,WEYERHAEUSER CO,internal,Doyle R. Simons,Devin W. Stockfish,2018,2019,2019,2020
2068,55785,KIMBERLY-CLARK CORP,internal,Thomas J. Falk,Michael D. Hsu,2018,2019,2019,2020
3393,1393311,PUBLIC STORAGE,internal,"Ronald L. Havner, Jr.","Joseph D. Russell, Jr.",2018,2019,2019,2020
6396,896878,INTUIT INC,internal,Brad D. Smith,Sasan K. Goodarzi,2018,2019,2019,2020
9163,1383312,BROADRIDGE FINANCIAL SOLUTNS,internal,Richard J. Daly,Timothy C. Gokey,2018,2019,2020,2021
8619,1467373,ACCENTURE PLC,internal,Pierre Nanterme,Julie Sweet,2018,2019,2020,2021
2762,1004980,PG&E CORP,external,Geisha Jimenez Williams,William Dean Johnson,2018,2019,2020,2021
3964,783325,WEC ENERGY GROUP INC,internal,Gale E. Klappa,Joseph Kevin Fletcher,2018,2019,2020,2021
4736,1038357,PIONEER NATURAL RESOURCES CO,external,Timothy L. Dove,Scott D. Sheffield,2018,2019,2020,2021
654,16918,CONSTELLATION BRANDS -CL A,internal,"Robert S. Sands, II",William A. Newlands,2018,2019,2020,2021
8067,1058290,COGNIZANT TECH SOLUTIONS,external,Francisco D'Souza,Brian Humphries,2018,2019,2020,2021
2311,927653,MCKESSON CORP,internal,John H. Hammergren,Brian S. Tyler,2018,2019,2020,2021
7240,927066,DAVITA INC,internal,Kent J. Thiry,Javier J. Rodriguez,2018,2019,2020,2021
861,21665,COLGATE-PALMOLIVE CO,internal,Ian M. Cook,Noel R. Wallace,2018,2019,2020,2021
8463,1099219,METLIFE INC,internal,Steven Albert Kandarian,Michel A. Khalaf,2018,2019,2020,2021
